Year,State,Type,Length,Expense,Value,Region
2021,Massachusetts,Private,4-year,Fees/Tuition,49152,Northeast
2021,Vermont,Private,4-year,Fees/Tuition,48300,Northeast
2020,Massachusetts,Private,4-year,Fees/Tuition,47980,Northeast
2020,Vermont,Private,4-year,Fees/Tuition,46445,Northeast
2019,Massachusetts,Private,4-year,Fees/Tuition,46016,Northeast
2021,Rhode Island,Private,4-year,Fees/Tuition,45927,Northeast
2021,Oregon,Private,4-year,Fees/Tuition,45166,West
2021,District of Columbia,Private,4-year,Fees/Tuition,44692,
2018,Massachusetts,Private,4-year,Fees/Tuition,44384,Northeast
2021,Maryland,Private,4-year,Fees/Tuition,44356,Northeast
2020,District of Columbia,Private,4-year,Fees/Tuition,44134,
2019,Vermont,Private,4-year,Fees/Tuition,44068,Northeast
2020,Maryland,Private,4-year,Fees/Tuition,44048,Northeast
2021,Pennsylvania,Private,4-year,Fees/Tuition,43926,Northeast
2020,Rhode Island,Private,4-year,Fees/Tuition,43919,Northeast
2020,Connecticut,Private,4-year,Fees/Tuition,43242,Northeast
2019,District of Columbia,Private,4-year,Fees/Tuition,43143,
2019,Maryland,Private,4-year,Fees/Tuition,43141,Northeast
2021,Connecticut,Private,4-year,Fees/Tuition,43013,Northeast
2020,Pennsylvania,Private,4-year,Fees/Tuition,42812,Northeast
2017,Massachusetts,Private,4-year,Fees/Tuition,42655,Northeast
2018,Vermont,Private,4-year,Fees/Tuition,42637,Northeast
2021,New York,Private,4-year,Fees/Tuition,42631,Northeast
2020,Oregon,Private,4-year,Fees/Tuition,42202,West
2019,Rhode Island,Private,4-year,Fees/Tuition,42108,Northeast
2021,Vermont,Public Out-of-State,4-year,Fees/Tuition,41963,Northeast
2018,Maryland,Private,4-year,Fees/Tuition,41859,Northeast
2019,Connecticut,Private,4-year,Fees/Tuition,41807,Northeast
2018,District of Columbia,Private,4-year,Fees/Tuition,41775,
2019,Pennsylvania,Private,4-year,Fees/Tuition,41703,Northeast
2020,New York,Private,4-year,Fees/Tuition,41404,Northeast
2021,Louisiana,Private,4-year,Fees/Tuition,41393,Southeast
2017,Vermont,Private,4-year,Fees/Tuition,41063,Northeast
2020,Vermont,Public Out-of-State,4-year,Fees/Tuition,41057,Northeast
2021,Washington,Private,4-year,Fees/Tuition,40830,West
2016,Massachusetts,Private,4-year,Fees/Tuition,40761,Northeast
2017,District of Columbia,Private,4-year,Fees/Tuition,40618,
2019,Oregon,Private,4-year,Fees/Tuition,40597,West
2019,New York,Private,4-year,Fees/Tuition,40527,Northeast
2018,Connecticut,Private,4-year,Fees/Tuition,40410,Northeast
2018,Rhode Island,Private,4-year,Fees/Tuition,40361,Northeast
2020,Maine,Private,4-year,Fees/Tuition,40353,Northeast
2017,Maryland,Private,4-year,Fees/Tuition,40209,Northeast
2018,Pennsylvania,Private,4-year,Fees/Tuition,40068,Northeast
2021,Maine,Private,4-year,Fees/Tuition,40007,Northeast
2019,Vermont,Public Out-of-State,4-year,Fees/Tuition,39947,Northeast
